220
C,1.2,0.8,3.5
T,2.5,4.2,6.7
S,-0.5,3.0,4.8
H,3.1,-1.8,4.7
C,4.3,1.7,2.1
T,-2.7,2.9,3.8
S,1.8,1.3,4.2
C,-3.2,-2.0,1.5
T,4.0,2.7,6.3
S,-1.5,3.5,1.8
C,1.2,0.8,3.5
T,2.5,4.2,6.7
S,-0.5,3.0,4.8
H,3.1,-1.8,4.7
C,4.3,1.7,2.1
T,-2.7,2.9,3.8
S,1.8,1.3,4.2
C,-3.2,-2.0,1.5
T,4.0,2.7,6.3
S,-1.5,3.5,1.8
C,1.2,0.8,3.5
T,2.5,4.2,6.7
S,-0.5,3.0,4.8
H,3.1,-1.8,4.7
C,4.3,1.7,2.1
T,-2.7,2.9,3.8
S,1.8,1.3,4.2
C,-3.2,-2.0,1.5
T,4.0,2.7,6.3
S,-1.5,3.5,1.8
C,1.2,0.8,3.5
T,2.5,4.2,6.7
S,-0.5,3.0,4.8
H,3.1,-1.8,4.7
C,4.3,1.7,2.1
T,-2.7,2.9,3.8
S,1.8,1.3,4.2
C,-3.2,-2.0,1.5
T,4.0,2.7,6.3
S,-1.5,3.5,1.8
C,1.2,0.8,3.5
T,2.5,4.2,6.7
S,-0.5,3.0,4.8
H,3.1,-1.8,4.7
C,4.3,1.7,2.1
T,-2.7,2.9,3.8
S,1.8,1.3,4.2
C,-3.2,-2.0,1.5
T,4.0,2.7,6.3
S,-1.5,3.5,1.8
C,1.2,0.8,3.5
T,2.5,4.2,6.7
S,-0.5,3.0,4.8
H,3.1,-1.8,4.7
C,4.3,1.7,2.1
T,-2.7,2.9,3.8
S,1.8,1.3,4.2
C,-3.2,-2.0,1.5
T,4.0,2.7,6.3
S,-1.5,3.5,1.8
C,0.9,0.7,2.8
T,1.8,3.7,5.6
S,-0.4,2.2,4.4
H,2.9,-1.5,4.3
C,3.5,1.4,1.9
T,-2.3,2.5,3.6
S,1.5,1.0,4.0
C,-2.7,-1.5,1.2
T,3.1,2.3,5.9
S,-1.0,2.7,0.9
C,0.9,0.7,2.8
T,1.8,3.7,5.6
S,-0.4,2.2,4.4
H,2.9,-1.5,4.3
C,3.5,1.4,1.9
T,-2.3,2.5,3.6
S,1.5,1.0,4.0
C,-2.7,-1.5,1.2
T,3.1,2.3,5.9
S,-1.0,2.7,0.9
C,0.9,0.7,2.8
T,1.8,3.7,5.6
S,-0.4,2.2,4.4
H,2.9,-1.5,4.3
C,3.5,1.4,1.9
T,-2.3,2.5,3.6
S,1.5,1.0,4.0
C,-2.7,-1.5,1.2
T,3.1,2.3,5.9
S,-1.0,2.7,0.9
C,0.9,0.7,2.8
T,1.8,3.7,5.6
S,-0.4,2.2,4.4
H,2.9,-1.5,4.3
C,3.5,1.4,1.9
T,-2.3,2.5,3.6
S,1.5,1.0,4.0
C,-2.7,-1.5,1.2
T,3.1,2.3,5.9
S,-1.0,2.7,0.9
C,1.7,0.6,3.2
T,3.0,4.5,6.8
S,-0.3,2.8,4.6
H,3.6,-1.3,4.9
C,4.0,1.3,2.0
T,-2.2,3.0,3.5
S,1.9,0.8,4.4
C,-2.8,-1.0,1.1
T,3.4,2.0,6.5
S,-0.7,3.2,1.5
C,1.7,0.6,3.2
T,3.0,4.5,6.8
S,-0.3,2.8,4.6
H,3.6,-1.3,4.9
C,4.0,1.3,2.0
T,-2.2,3.0,3.5
S,1.9,0.8,4.4
C,-2.8,-1.0,1.1
T,3.4,2.0,6.5
S,-0.7,3.2,1.5
C,1.7,0.6,3.2
T,3.0,4.5,6.8
S,-0.3,2.8,4.6
H,3.6,-1.3,4.9
C,4.0,1.3,2.0
T,-2.2,3.0,3.5
S,1.9,0.8,4.4
C,-2.8,-1.0,1.1
T,3.4,2.0,6.5
S,-0.7,3.2,1.5
C,1.7,0.6,3.2
T,3.0,4.5,6.8
S,-0.3,2.8,4.6
H,3.6,-1.3,4.9
C,4.0,1.3,2.0
T,-2.2,3.0,3.5
S,1.9,0.8,4.4
C,-2.8,-1.0,1.1
T,3.4,2.0,6.5
S,-0.7,3.2,1.5
C,1.1,0.5,3.7
T,2.8,4.3,6.5
S,-0.6,2.9,4.2
